Object,Actor(s),Type,Count,HWInstances,Inst Sections,Tris,Sum Tris,Size,VC,Inst VC,Avg LM,Avg OL,Sum Avg,Cost,LM,Res,Min R,Max R,Avg R,
Landscape_0,(Landscape'"/Game/Levels/Game.Game:PersistentLevel.Landscape_0"'),Landscape,1,16,64,508032,508032,8942.76,0,0,0,15,0,0,682.656,2048,8909.546,8909.692,142552.891,
CasaUnreal,(StaticMeshActor'"/Game/Levels/Game.Game:PersistentLevel.CasaUnreal_4"'),StaticMesh,1,1,12,33500,33500,7087.619,0,0,0,4,0,0,10.64,64,1967.34,1967.34,1967.34,
Casa_pro_tiagao_juntinha,(StaticMeshActor'"/Game/Levels/Game.Game:PersistentLevel.Casa_pro_tiagao_juntinha_92"'),StaticMesh,1,1,12,28337,28337,6011.241,0,0,0,0,0,0,10.64,64,2182.479,2182.479,2182.479,
Vitima_Base_V1,(SkeletalMeshActor'"/Game/Levels/Game.Game:PersistentLevel.Vitima_Base_V2"' SkeletalMeshActor'"/Game/Levels/Game.Game:PersistentLevel.Vitima_Base_V1_2"'),SkeletalMesh,2,2,2,34482,68964,5932.783,0,0,0,2,0,0,0,0,62.049,62.049,124.099,
BluestonewallGate_Top_frame_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,19008,19008,2216.328,0,0,0,0,0,0,0,64,111.66,111.66,111.66,
BluestonewallGate_Top_frame_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,19008,19008,2210.584,0,0,0,0,0,0,0,64,111.66,111.66,111.66,
Mannequin_Masculino_Olhos_001,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,2,7422,7422,951.027,0,0,0,0,0,0,0,64,14.075,14.075,14.075,
Mannequin_Feminino_Olhos,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,2,7242,7242,919.115,0,0,0,0,0,0,0,64,13.389,13.389,13.389,
MatineeCam_SM,(CameraActor'"/Game/Levels/Game.Game:PersistentLevel.CameraActor_0"'),StaticMesh,1,1,1,4528,4528,552.876,0,0,0,1,0,0,0,4,57.155,57.155,57.155,
dark-wood-dresser-with-fully-modelled-drawers_drawer_handle_003,(Drawer_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Drawer_BP_2"'),StaticMesh,1,1,2,2790,2790,354.467,0,0,0,2,0,0,0,64,44.14,44.14,44.14,
Mannequin_Masculino_P?_Esquerda,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,2668,2668,353.709,0,0,0,0,0,0,0,64,15.919,15.919,15.919,
